short_window,long_window,short_type,long_type,tp_multiplier,sl_multiplier,total_return,sharpe_ratio,win_rate,max_drawdown,total_trades,long_trades,short_trades,long_winrate,short_winrate,total_pnl,strategy_name,combo_type
12,200,EMA,EMA,2.5,2.0,0.5526137479123576,0.37487396732973455,46.3768115942029,10.918580922334472,69,28,41,42.86,48.78,2.76,EMA12/EMA200,EMA/EMA
9,200,EMA,EMA,3.0,2.0,0.508991117372284,0.3531290340319885,40.50632911392405,13.31214854754241,79,33,46,39.39,41.3,2.54,EMA9/EMA200,EMA/EMA
9,200,SMA,SMA,3.0,2.0,0.49861006580264305,0.35056665709886253,38.095238095238095,12.45624846461922,63,26,37,38.46,37.84,2.5,SMA9/SMA200,SMA/SMA
50,200,EMA,SMA,2.5,1.5,0.47849020489665006,0.39814935920447314,42.857142857142854,4.686739620024271,28,10,18,40.0,44.44,2.3900000000000006,EMA50/SMA200,EMA/SMA
21,200,EMA,EMA,3.0,2.5,0.4633888555379372,0.33232141654697983,48.0,7.709898151467064,50,19,31,52.63,45.16,2.3200000000000003,EMA21/EMA200,EMA/EMA
9,200,SMA,SMA,3.0,1.5,0.45832161071582506,0.3386929475351382,34.375,11.767327149928276,64,26,38,34.62,34.21,2.29,SMA9/SMA200,SMA/SMA
21,200,EMA,SMA,2.5,1.5,0.3765653951777949,0.32655901475079346,43.90243902439025,4.858716556757673,41,13,28,53.85,39.29,1.879999999999999,EMA21/SMA200,EMA/SMA
9,200,EMA,SMA,3.0,1.5,0.3072773387864686,0.27042378249895105,38.70967741935484,7.793088061077046,62,25,37,36.0,40.54,1.54,EMA9/SMA200,EMA/SMA
9,50,SMA,SMA,3.0,2.5,0.29154209619352967,0.28137489129177684,41.23711340206185,15.770826827168241,97,49,48,36.73,45.83,1.4600000000000009,SMA9/SMA50,SMA/SMA
20,26,EMA,EMA,2.5,3.0,0.2574802043529189,0.273804725986164,45.63106796116505,16.169759904506943,103,51,52,43.14,48.08,1.29,EMA20/EMA26,EMA/EMA
50,200,SMA,EMA,2.5,3.0,0.21705714138670373,0.2273094711806896,50.0,7.60813987629477,28,12,16,50.0,50.0,1.080000000000001,SMA50/EMA200,SMA/EMA
20,21,EMA,EMA,3.0,2.5,0.21110665676334295,0.2674626390826686,37.60683760683761,8.786789448060492,117,56,61,37.5,37.7,1.0499999999999998,EMA20/EMA21,EMA/EMA
50,200,EMA,SMA,2.5,2.0,0.19551579168958144,0.2159210636234158,46.42857142857143,6.125768695253003,28,10,18,40.0,50.0,0.9800000000000022,EMA50/SMA200,EMA/SMA
